trade_date,symbol,open,high,low,close,pre_close,volume,amount,turnover,pct_chg,adjustment_mode,trading_status,is_st,pe_ttm,pb,benchmark_symbol,benchmark_return_1d,benchmark_return_5d,benchmark_return_20d,forward_return_1d,forward_return_5d,forward_return_20d,benchmark_excess_return_1d,benchmark_excess_return_5d,benchmark_excess_return_20d,label_ready_1d,label_ready_5d,label_ready_20d,source_provider,source_provider_priority,crosscheck_provider,crosscheck_status,source_warning_codes,panel_contract_status,universe_mode,non_actionable_disclaimer
2025-12-03,000001.SZ,11.64,11.7,11.54,11.55,11.64,94460109,1099167226.64,0.4868,-0.7732,baostock_adjustflag_3_unadjusted,trading,false,5.198255,0.500335,000300.SH,0.0034247702,0.0134138265,0.0218251687,-0.0051948052,-0.0190476190,-0.0121212121,-0.0086195753,-0.0324614456,-0.0339463808,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-04,000001.SZ,11.55,11.58,11.46,11.49,11.55,88608988,1019178990.3,0.4566,-0.5195,baostock_adjustflag_3_unadjusted,trading,false,5.171251,0.497735,000300.SH,0.0083514452,0.0012357457,0.0376502365,0.0034812881,-0.0104438642,0.0008703220,-0.0048701571,-0.0116796100,-0.0367799144,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-05,000001.SZ,11.49,11.54,11.4,11.53,11.49,89076609,1022334911.54,0.459,0.3481,baostock_adjustflag_3_unadjusted,trading,false,5.189254,0.499468,000300.SH,0.0081180938,-0.0007823691,0.0449679017,-0.0008673027,-0.0156114484,0.0121422376,-0.0089853965,-0.0148290793,-0.0328256640,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-08,000001.SZ,11.49,11.6,11.48,11.52,11.53,85589893,988510035.14,0.4411,-0.0867,baostock_adjustflag_3_unadjusted,trading,false,5.184753,0.499035,000300.SH,-0.0050914215,-0.0150797495,0.0335178556,-0.0078125000,-0.0008680556,0.0104166667,-0.0027210785,0.0142116939,-0.0231011889,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-09,000001.SZ,11.52,11.54,11.43,11.43,11.52,73395745,842732358.15,0.3782,-0.7813,baostock_adjustflag_3_unadjusted,trading,false,5.144247,0.495136,000300.SH,-0.0013909503,-0.0218929564,0.0303226690,-0.0087489064,0.0043744532,0.0069991251,-0.0073579561,0.0262674096,-0.0233235439,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-10,000001.SZ,11.44,11.46,11.29,11.33,11.43,104406472,1184087688.01,0.538,-0.8749,baostock_adjustflag_3_unadjusted,trading,false,5.099241,0.490804,000300.SH,-0.0086332733,-0.0026029507,0.0363896090,0.0035304501,0.0176522507,0.0114739629,0.0121637234,0.0202552013,-0.0249156461,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-11,000001.SZ,11.35,11.39,11.3,11.37,11.33,92526129,1049906215.97,0.4768,0.353,baostock_adjustflag_3_unadjusted,trading,false,5.117243,0.492537,000300.SH,0.0063189878,0.0001335183,0.0522234291,-0.0017590150,0.0237467018,0.0096745822,-0.0080780027,0.0236131835,-0.0425488468,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-12,000001.SZ,11.37,11.43,11.3,11.35,11.37,119189472,1357465371.22,0.6142,-0.1759,baostock_adjustflag_3_unadjusted,trading,false,5.108242,0.491671,000300.SH,-0.0063066395,-0.0027880461,0.0393111473,0.0140969163,0.0237885463,0.0105726872,0.0204035558,0.0265765924,-0.0287384600,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-15,000001.SZ,11.34,11.54,11.33,11.51,11.35,94083253,1080642231.19,0.4848,1.4097,baostock_adjustflag_3_unadjusted,trading,false,5.180252,0.498602,000300.SH,-0.0119737228,0.0130850440,0.0417110092,-0.0026064292,0.0008688097,-0.0130321460,0.0093672936,-0.0122162342,-0.0547431552,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-16,000001.SZ,11.49,11.55,11.44,11.48,11.51,64735136,743389002.32,0.3336,-0.2606,baostock_adjustflag_3_unadjusted,trading,false,5.16675,0.497302,000300.SH,0.0183033913,0.0273881284,0.0564472982,0.0043554007,0.0069686411,-0.0148083624,-0.0139479906,-0.0204194873,-0.0712556606,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-17,000001.SZ,11.47,11.58,11.42,11.53,11.48,70149533,807135164.41,0.3615,0.4355,baostock_adjustflag_3_unadjusted,trading,false,5.189254,0.499468,000300.SH,-0.0059133492,0.0118308032,0.0331881984,0.0095403296,0.0008673027,-0.0294882914,0.0154536787,-0.0109635006,-0.0626764898,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-18,000001.SZ,11.51,11.65,11.48,11.64,11.53,79046654,916247610.59,0.4073,0.954,baostock_adjustflag_3_unadjusted,trading,false,5.238761,0.504233,000300.SH,0.0033793545,0.0197116600,0.0399014442,-0.0017182131,-0.0068728522,-0.0446735395,-0.0050975675,-0.0265845123,-0.0845749837,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-19,000001.SZ,11.63,11.65,11.58,11.62,11.64,64988619,755106127.43,0.3349,-0.1718,baostock_adjustflag_3_unadjusted,trading,false,5.229759,0.503367,000300.SH,0.0095104436,0.0194961532,0.0329891035,-0.0086058520,-0.0068846816,-0.0395869191,-0.0181162955,-0.0263808348,-0.0725760226,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-22,000001.SZ,11.61,11.61,11.51,11.52,11.62,74236916,857197057.46,0.3826,-0.8606,baostock_adjustflag_3_unadjusted,trading,false,5.184753,0.499035,000300.SH,0.0019755732,0.0060171001,0.0241662616,0.0034722222,0.0034722222,-0.0390625000,0.0014966490,-0.0025448778,-0.0632287616,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-23,000001.SZ,11.52,11.6,11.5,11.56,11.52,66626574,770081939.85,0.3433,0.3472,baostock_adjustflag_3_unadjusted,trading,false,5.202756,0.500768,000300.SH,0.0028836327,0.0066110058,0.0222854200,-0.0017301038,-0.0069204152,-0.0423875433,-0.0046137365,-0.0135314210,-0.0646729632,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-24,000001.SZ,11.55,11.58,11.49,11.54,11.56,50524356,582458734.52,0.2604,-0.173,baostock_adjustflag_3_unadjusted,trading,false,5.193754,0.499901,000300.SH,0.0018293036,-0.0008888753,0.0147684796,0.0017331023,-0.0112651646,-0.0476603120,-0.0000962013,-0.0103762894,-0.0624287916,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
2025-12-25,000001.SZ,11.54,11.62,11.52,11.56,11.54,54745523,633772624.98,0.2821,0.1733,baostock_adjustflag_3_unadjusted,trading,false,5.202756,0.500768,000300.SH,0.0031672993,0.0162001985,0.0138778254,-0.0017301038,-0.0051903114,-0.0519031142,-0.0048974031,-0.0213905099,-0.0657809396,true,true,true,baostock,1,akshare,checked_close_diff_within_tolerance,canonical_approved_universe_below_50,source_backed_evaluation_panel_ready_for_dc03,provider_panel_candidate_universe_review_only,review_only_panel_not_trading_or_position_output
