provider_id,function_name,symbol,date_start,date_end,attempt_ts,network_enabled,status,failure_class,http_status_if_available,response_type_if_available,rows_returned,schema_valid,retry_allowed,fallback_provider,notes,request_sequence,batch_request_sequence,market_exchange,endpoint_family,elapsed_seconds,response_byte_length_if_available,latest_returned_trade_date,exception_type,terminal_exception_message,retry_count,accepted,rejection_reason,upstream_source,akshare_version,request_parameters,network_context
akshare,stock_zh_a_hist_tx,000651.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:48.522+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,11,11,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.469382,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz000651"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
akshare,stock_zh_a_hist_tx,000725.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:49.193+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,12,12,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.372576,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz000725"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
akshare,stock_zh_a_hist_tx,000786.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:49.767+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,13,13,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.466211,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz000786"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
akshare,stock_zh_a_hist_tx,000895.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:50.436+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,14,14,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.372829,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz000895"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
akshare,stock_zh_a_hist_tx,000938.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:51.012+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,15,15,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.37636,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz000938"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
akshare,stock_zh_a_hist_tx,000963.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:51.589+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,16,16,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.383325,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz000963"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
akshare,stock_zh_a_hist_tx,001979.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:52.176+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,17,17,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.327672,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz001979"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
akshare,stock_zh_a_hist_tx,002236.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:52.707+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,18,18,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.303143,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz002236"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
akshare,stock_zh_a_hist_tx,002241.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:53.215+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,19,19,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.461755,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz002241"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
akshare,stock_zh_a_hist_tx,002311.SZ,2026-07-15,2026-07-15,2026-07-16T12:09:53.882+00:00,true,PASS,PROVIDER_OK,,DataFrame,1,true,false,,normalized_tencent_stock_ohlcv;amount_unavailable_from_official_akshare_function,20,20,SZ,web.ifzq.gtimg.cn;proxy.finance.qq.com,0.391436,unavailable_at_akshare_dataframe_boundary,2026-07-15,,,0,true,,Tencent,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260715"",""start_date"":""20260715"",""symbol"":""sz002311"",""timeout"":30}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""proxy.finance.qq.com""}"
