trade_date,symbol,as_of_date,position_band_status,position_actionability_status,source_risk_severity,recommendation_eligibility_status,gross_forward_return_1d,gross_excess_return_1d,label_coverage_status,warning_codes,review_only,non_actionable_disclaimer
2026-06-16,002475.SZ,2026-06-15,blocked_review_only_no_position_instruction,never_actionable,HIGH,blocked_review_only_multihorizon_incomplete,0.018,0.012,1d_only_multi_symbol_20d_missing,MISSING_20D_FORWARD_RETURN;MISSING_3D_FORWARD_RETURN;MISSING_5D_FORWARD_RETURN;REVIEW_ONLY_DIAGNOSTIC_COVERAGE,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-16,600036.SH,2026-06-15,blocked_review_only_no_position_instruction,never_actionable,HIGH,blocked_review_only_multihorizon_incomplete,0.005,-0.001,1d_only_multi_symbol_20d_missing,MISSING_20D_FORWARD_RETURN;MISSING_3D_FORWARD_RETURN;MISSING_5D_FORWARD_RETURN;REVIEW_ONLY_DIAGNOSTIC_COVERAGE,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-17,002475.SZ,2026-06-16,blocked_review_only_no_position_instruction,never_actionable,HIGH,blocked_review_only_multihorizon_incomplete,-0.004,-0.005,1d_only_multi_symbol_20d_missing,MISSING_20D_FORWARD_RETURN;MISSING_3D_FORWARD_RETURN;MISSING_5D_FORWARD_RETURN;REVIEW_ONLY_DIAGNOSTIC_COVERAGE,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-17,600036.SH,2026-06-16,blocked_review_only_no_position_instruction,never_actionable,HIGH,blocked_review_only_multihorizon_incomplete,0.007,0.006,1d_only_multi_symbol_20d_missing,MISSING_20D_FORWARD_RETURN;MISSING_3D_FORWARD_RETURN;MISSING_5D_FORWARD_RETURN;REVIEW_ONLY_DIAGNOSTIC_COVERAGE,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-18,002475.SZ,2026-06-17,blocked_review_only_no_position_instruction,never_actionable,HIGH,blocked_review_only_multihorizon_incomplete,0.011,0.009,1d_only_multi_symbol_20d_missing,MISSING_20D_FORWARD_RETURN;MISSING_3D_FORWARD_RETURN;MISSING_5D_FORWARD_RETURN;REVIEW_ONLY_DIAGNOSTIC_COVERAGE,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-18,600036.SH,2026-06-17,blocked_review_only_no_position_instruction,never_actionable,HIGH,blocked_review_only_multihorizon_incomplete,-0.002,-0.004,1d_only_multi_symbol_20d_missing,MISSING_20D_FORWARD_RETURN;MISSING_3D_FORWARD_RETURN;MISSING_5D_FORWARD_RETURN;REVIEW_ONLY_DIAGNOSTIC_COVERAGE,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-19,002475.SZ,2026-06-18,blocked_review_only_no_position_instruction,never_actionable,HIGH,blocked_review_only_multihorizon_incomplete,0.006,0.003,1d_only_multi_symbol_20d_missing,MISSING_20D_FORWARD_RETURN;MISSING_3D_FORWARD_RETURN;MISSING_5D_FORWARD_RETURN;REVIEW_ONLY_DIAGNOSTIC_COVERAGE,true,diagnostic_only_not_investment_advice_not_trade_instruction
2026-06-19,600036.SH,2026-06-18,blocked_review_only_no_position_instruction,never_actionable,HIGH,blocked_review_only_multihorizon_incomplete,0.009,0.006,1d_only_multi_symbol_20d_missing,MISSING_20D_FORWARD_RETURN;MISSING_3D_FORWARD_RETURN;MISSING_5D_FORWARD_RETURN;REVIEW_ONLY_DIAGNOSTIC_COVERAGE,true,diagnostic_only_not_investment_advice_not_trade_instruction
