group_type,group_value,row_count,unique_symbols,unique_trade_dates,mean_forward_return_1d,median_forward_return_1d,mean_excess_forward_return_1d,median_excess_forward_return_1d,hit_rate_1d,positive_excess_rate_1d,forward_return_3d_available_rows,forward_return_5d_available_rows,forward_return_20d_available_rows
symbol,002475.SZ,4,1,4,0.007750,0.008500,0.004750,0.006000,0.750000,0.750000,0,0,0
symbol,600036.SH,4,1,4,0.004750,0.006000,0.001750,0.002500,0.750000,0.500000,0,0,0
