trade_date,symbol,signal_date,execution_date,recommendation_eligibility,actionability_status,risk_severity,warning_codes,evaluation_status,evaluation_reason,forward_return_1d,forward_return_5d,forward_return_20d,benchmark_excess_return_1d,benchmark_excess_return_5d,benchmark_excess_return_20d,label_source_path,label_source_trade_date,label_ready,diagnostic_mode,non_actionable_disclaimer
2024-07-02,000001.SZ,2024-07-02,2024-07-03,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.005488,-0.018661,,-0.000406,-0.008717,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-03,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-03,000001.SZ,2024-07-03,2024-07-04,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.032009,-0.014349,,-0.027728,-0.020838,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-04,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-04,000001.SZ,2024-07-04,2024-07-05,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.004561,0.038769,,0.003979,0.02672,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-05,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-05,000001.SZ,2024-07-05,2024-07-08,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.016037,0.045819,,0.004852,0.023922,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-08,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-08,000001.SZ,2024-07-08,2024-07-09,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.007892,0.02593,,0.011043,0.008932,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-09,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-09,000001.SZ,2024-07-09,2024-07-10,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.001119,0.029083,,-0.012551,0.007908,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-10,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-10,000001.SZ,2024-07-10,2024-07-11,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.020157,0.031355,,0.018937,0.016142,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-11,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-11,000001.SZ,2024-07-11,2024-07-12,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.002195,0.006586,,0.001086,-0.0126,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-12,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-12,000001.SZ,2024-07-12,2024-07-15,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.003286,-0.010953,,-0.009623,-0.022077,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-15,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-15,000001.SZ,2024-07-15,2024-07-16,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.010989,-0.013187,,0.010046,0.003507,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-16,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-16,000001.SZ,2024-07-16,2024-07-17,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,0.001087,-0.029348,,-0.004439,-0.005527,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-17,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
2024-07-17,000001.SZ,2024-07-17,2024-07-18,blocked_high_risk,never_actionable,HIGH,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;provider_source_concentration_disclosed;selected_score_variant_weak_rank_signal;single_provider_mode_akshare_direct;target_horizon_calibration_warning;weak_target_horizon_rank_signal,evaluable,t_plus_1_label_available,-0.004343,-0.034745,,-0.009481,-0.000192,,outputs/samples/stage6c_source_backed_engineering_panel_sample.csv,2024-07-18,true,review_only,GOAL-10B review-only diagnostics; not investment advice or trading instruction.
