trade_date,symbol,fwd_1d_return,fwd_3d_return,fwd_5d_return,benchmark_fwd_1d_return,benchmark_fwd_3d_return,benchmark_fwd_5d_return,excess_fwd_1d_return,excess_fwd_3d_return,excess_fwd_5d_return,provider_id,provider_mode,source_bundle_id,label_ready,label_contract_version,label_quality_flags
2024-07-17,000001.SZ,0.001087,-0.018478,-0.029348,0.005526,0.00381,-0.023821,-0.004439,-0.022288,-0.005527,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-18,000001.SZ,-0.004343,-0.024973,-0.034745,0.005138,-0.023019,-0.034553,-0.009481,-0.001954,-0.000192,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-19,000001.SZ,-0.015267,-0.026172,-0.037077,-0.00681,-0.034148,-0.036657,-0.008457,0.007976,-0.00042,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-22,000001.SZ,-0.005537,-0.015504,-0.013289,-0.021349,-0.032903,-0.035329,0.015812,0.017399,0.02204,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-23,000001.SZ,-0.005568,-0.016704,-0.011136,-0.006311,-0.008893,-0.020495,0.000743,-0.007811,0.009359,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-24,000001.SZ,-0.004479,-0.00224,0.015677,-0.005529,-0.008025,0.006995,0.00105,0.005785,0.008682,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-25,000001.SZ,-0.006749,-0.001125,0.020247,0.002948,-0.008793,0.005884,-0.009697,0.007668,0.014363,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-26,000001.SZ,0.00906,0.02718,0.012458,-0.005441,0.009618,-0.007304,0.014501,0.017562,0.019762,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-29,000001.SZ,-0.003367,0.017957,-0.006734,-0.0063,0.008414,-0.013985,0.002933,0.009543,0.007251,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-30,000001.SZ,0.021396,0.006757,-0.016892,0.021577,0.004455,-0.007835,-0.000181,0.002302,-0.009057,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-07-31,000001.SZ,0.0,-0.024256,-0.037486,-0.006627,-0.028692,-0.029224,0.006627,0.004436,-0.008262,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-01,000001.SZ,-0.014333,-0.037486,-0.036384,-0.010201,-0.022312,-0.022323,-0.004132,-0.015174,-0.014061,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-02,000001.SZ,-0.010067,-0.02349,-0.011186,-0.012135,-0.012676,-0.015589,0.002068,-0.010814,0.004403,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-05,000001.SZ,-0.013559,-0.012429,-0.00452,-0.000102,-0.000114,-0.005222,-0.013457,-0.012315,0.000702,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-06,000001.SZ,0.0,0.0126,0.002291,-0.000446,-0.003395,-0.00257,0.000446,0.015995,0.004861,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-07,000001.SZ,0.001145,0.009164,-0.001145,0.000434,-0.004678,-0.009651,0.000711,0.013842,0.008506,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-08,000001.SZ,0.011442,0.001144,0.010297,-0.003383,-0.002558,-0.000296,0.014825,0.003702,0.010593,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-09,000001.SZ,-0.003394,-0.013575,0.010181,-0.001732,-0.00672,0.004202,-0.001662,-0.006855,0.005979,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-12,000001.SZ,-0.00681,0.00227,0.031782,0.002565,0.004838,0.009354,-0.009375,-0.002568,0.022428,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-13,000001.SZ,-0.003429,0.020571,0.044571,-0.007543,0.003371,-0.000507,0.004114,0.0172,0.045078,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-14,000001.SZ,0.012615,0.042431,0.049312,0.009884,0.014423,0.003747,0.002731,0.028008,0.045565,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
2024-08-15,000001.SZ,0.011325,0.035108,0.039638,0.001101,-0.002768,-0.008621,0.010224,0.037876,0.048259,eastmoney_akshare_contract,akshare_direct,goal06c7_provider_ladder_engineering_pilot_current,true,goal06c7.source_backed_label.v1,SOURCE_BACKED
