trade_date,index_id,index_name,open,high,low,close,volume,amount,turnover,trailing_return_5d,trailing_return_20d,trailing_volatility_20d,trailing_drawdown_20d,source_id,source_provider,provider_timestamp,pit_available_date,no_lookahead_status,data_status,non_actionable_disclaimer
2025-11-19,000300.SH,CSI 300,,,,,,,,-0.0154015256,-0.0018344952,,,csi_indices,baostock,2025-11-19,2025-11-19,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-19,000001.SH,SSE Composite proxy,,,,,,,,-0.0154015256,-0.0018344952,,,sse_indices,baostock,2025-11-19,2025-11-19,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-19,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0154015256,-0.0018344952,,,szse_indices,baostock,2025-11-19,2025-11-19,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-20,000300.SH,CSI 300,,,,,,,,-0.0108534855,-0.0026628341,,,csi_indices,baostock,2025-11-20,2025-11-20,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-20,000001.SH,SSE Composite proxy,,,,,,,,-0.0108534855,-0.0026628341,,,sse_indices,baostock,2025-11-20,2025-11-20,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-20,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0108534855,-0.0026628341,,,szse_indices,baostock,2025-11-20,2025-11-20,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-21,000300.SH,CSI 300,,,,,,,,0.0164033311,0.0257253243,,,csi_indices,baostock,2025-11-21,2025-11-21,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-21,000001.SH,SSE Composite proxy,,,,,,,,0.0164033311,0.0257253243,,,sse_indices,baostock,2025-11-21,2025-11-21,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-21,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0164033311,0.0257253243,,,szse_indices,baostock,2025-11-21,2025-11-21,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-24,000300.SH,CSI 300,,,,,,,,0.0288750944,0.0367747172,,,csi_indices,baostock,2025-11-24,2025-11-24,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-24,000001.SH,SSE Composite proxy,,,,,,,,0.0288750944,0.0367747172,,,sse_indices,baostock,2025-11-24,2025-11-24,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-24,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0288750944,0.0367747172,,,szse_indices,baostock,2025-11-24,2025-11-24,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-25,000300.SH,CSI 300,,,,,,,,0.0142370241,0.0290239764,,,csi_indices,baostock,2025-11-25,2025-11-25,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-25,000001.SH,SSE Composite proxy,,,,,,,,0.0142370241,0.0290239764,,,sse_indices,baostock,2025-11-25,2025-11-25,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-25,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0142370241,0.0290239764,,,szse_indices,baostock,2025-11-25,2025-11-25,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-26,000300.SH,CSI 300,,,,,,,,0.0029712733,0.0257730748,,,csi_indices,baostock,2025-11-26,2025-11-26,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-26,000001.SH,SSE Composite proxy,,,,,,,,0.0029712733,0.0257730748,,,sse_indices,baostock,2025-11-26,2025-11-26,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-26,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0029712733,0.0257730748,,,szse_indices,baostock,2025-11-26,2025-11-26,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-27,000300.SH,CSI 300,,,,,,,,0.0069016436,0.0281554068,,,csi_indices,baostock,2025-11-27,2025-11-27,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-27,000001.SH,SSE Composite proxy,,,,,,,,0.0069016436,0.0281554068,,,sse_indices,baostock,2025-11-27,2025-11-27,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-27,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0069016436,0.0281554068,,,szse_indices,baostock,2025-11-27,2025-11-27,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-28,000300.SH,CSI 300,,,,,,,,0.0127854046,0.0288465124,,,csi_indices,baostock,2025-11-28,2025-11-28,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-28,000001.SH,SSE Composite proxy,,,,,,,,0.0127854046,0.0288465124,,,sse_indices,baostock,2025-11-28,2025-11-28,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-11-28,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0127854046,0.0288465124,,,szse_indices,baostock,2025-11-28,2025-11-28,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-01,000300.SH,CSI 300,,,,,,,,0.0098916295,0.0137412210,,,csi_indices,baostock,2025-12-01,2025-12-01,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-01,000001.SH,SSE Composite proxy,,,,,,,,0.0098916295,0.0137412210,,,sse_indices,baostock,2025-12-01,2025-12-01,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-01,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0098916295,0.0137412210,,,szse_indices,baostock,2025-12-01,2025-12-01,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-02,000300.SH,CSI 300,,,,,,,,0.0096366435,0.0212867754,,,csi_indices,baostock,2025-12-02,2025-12-02,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-02,000001.SH,SSE Composite proxy,,,,,,,,0.0096366435,0.0212867754,,,sse_indices,baostock,2025-12-02,2025-12-02,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-02,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0096366435,0.0212867754,,,szse_indices,baostock,2025-12-02,2025-12-02,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-03,000300.SH,CSI 300,,,,,,,,0.0134138265,0.0218251687,,,csi_indices,baostock,2025-12-03,2025-12-03,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-03,000001.SH,SSE Composite proxy,,,,,,,,0.0134138265,0.0218251687,,,sse_indices,baostock,2025-12-03,2025-12-03,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-03,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0134138265,0.0218251687,,,szse_indices,baostock,2025-12-03,2025-12-03,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-04,000300.SH,CSI 300,,,,,,,,0.0012357457,0.0376502365,,,csi_indices,baostock,2025-12-04,2025-12-04,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-04,000001.SH,SSE Composite proxy,,,,,,,,0.0012357457,0.0376502365,,,sse_indices,baostock,2025-12-04,2025-12-04,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-04,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0012357457,0.0376502365,,,szse_indices,baostock,2025-12-04,2025-12-04,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-05,000300.SH,CSI 300,,,,,,,,-0.0007823691,0.0449679017,,,csi_indices,baostock,2025-12-05,2025-12-05,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-05,000001.SH,SSE Composite proxy,,,,,,,,-0.0007823691,0.0449679017,,,sse_indices,baostock,2025-12-05,2025-12-05,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-05,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0007823691,0.0449679017,,,szse_indices,baostock,2025-12-05,2025-12-05,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-08,000300.SH,CSI 300,,,,,,,,-0.0150797495,0.0335178556,,,csi_indices,baostock,2025-12-08,2025-12-08,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-08,000001.SH,SSE Composite proxy,,,,,,,,-0.0150797495,0.0335178556,,,sse_indices,baostock,2025-12-08,2025-12-08,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-08,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0150797495,0.0335178556,,,szse_indices,baostock,2025-12-08,2025-12-08,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-09,000300.SH,CSI 300,,,,,,,,-0.0218929564,0.0303226690,,,csi_indices,baostock,2025-12-09,2025-12-09,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-09,000001.SH,SSE Composite proxy,,,,,,,,-0.0218929564,0.0303226690,,,sse_indices,baostock,2025-12-09,2025-12-09,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-09,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0218929564,0.0303226690,,,szse_indices,baostock,2025-12-09,2025-12-09,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-10,000300.SH,CSI 300,,,,,,,,-0.0026029507,0.0363896090,,,csi_indices,baostock,2025-12-10,2025-12-10,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-10,000001.SH,SSE Composite proxy,,,,,,,,-0.0026029507,0.0363896090,,,sse_indices,baostock,2025-12-10,2025-12-10,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-10,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0026029507,0.0363896090,,,szse_indices,baostock,2025-12-10,2025-12-10,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-11,000300.SH,CSI 300,,,,,,,,0.0001335183,0.0522234291,,,csi_indices,baostock,2025-12-11,2025-12-11,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-11,000001.SH,SSE Composite proxy,,,,,,,,0.0001335183,0.0522234291,,,sse_indices,baostock,2025-12-11,2025-12-11,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-11,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0001335183,0.0522234291,,,szse_indices,baostock,2025-12-11,2025-12-11,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-12,000300.SH,CSI 300,,,,,,,,-0.0027880461,0.0393111473,,,csi_indices,baostock,2025-12-12,2025-12-12,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-12,000001.SH,SSE Composite proxy,,,,,,,,-0.0027880461,0.0393111473,,,sse_indices,baostock,2025-12-12,2025-12-12,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-12,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0027880461,0.0393111473,,,szse_indices,baostock,2025-12-12,2025-12-12,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-15,000300.SH,CSI 300,,,,,,,,0.0130850440,0.0417110092,,,csi_indices,baostock,2025-12-15,2025-12-15,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-15,000001.SH,SSE Composite proxy,,,,,,,,0.0130850440,0.0417110092,,,sse_indices,baostock,2025-12-15,2025-12-15,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-15,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0130850440,0.0417110092,,,szse_indices,baostock,2025-12-15,2025-12-15,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-16,000300.SH,CSI 300,,,,,,,,0.0273881284,0.0564472982,0.0093132933,,csi_indices,baostock,2025-12-16,2025-12-16,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-16,000001.SH,SSE Composite proxy,,,,,,,,0.0273881284,0.0564472982,0.0093132933,,sse_indices,baostock,2025-12-16,2025-12-16,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-16,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0273881284,0.0564472982,0.0093132933,,szse_indices,baostock,2025-12-16,2025-12-16,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-17,000300.SH,CSI 300,,,,,,,,0.0118308032,0.0331881984,0.0093373383,,csi_indices,baostock,2025-12-17,2025-12-17,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-17,000001.SH,SSE Composite proxy,,,,,,,,0.0118308032,0.0331881984,0.0093373383,,sse_indices,baostock,2025-12-17,2025-12-17,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-17,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0118308032,0.0331881984,0.0093373383,,szse_indices,baostock,2025-12-17,2025-12-17,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-18,000300.SH,CSI 300,,,,,,,,0.0197116600,0.0399014442,0.0075055519,,csi_indices,baostock,2025-12-18,2025-12-18,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-18,000001.SH,SSE Composite proxy,,,,,,,,0.0197116600,0.0399014442,0.0075055519,,sse_indices,baostock,2025-12-18,2025-12-18,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-18,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0197116600,0.0399014442,0.0075055519,,szse_indices,baostock,2025-12-18,2025-12-18,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-19,000300.SH,CSI 300,,,,,,,,0.0194961532,0.0329891035,0.0076870652,,csi_indices,baostock,2025-12-19,2025-12-19,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-19,000001.SH,SSE Composite proxy,,,,,,,,0.0194961532,0.0329891035,0.0076870652,,sse_indices,baostock,2025-12-19,2025-12-19,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-19,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0194961532,0.0329891035,0.0076870652,,szse_indices,baostock,2025-12-19,2025-12-19,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-22,000300.SH,CSI 300,,,,,,,,0.0060171001,0.0241662616,0.0074830481,,csi_indices,baostock,2025-12-22,2025-12-22,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-22,000001.SH,SSE Composite proxy,,,,,,,,0.0060171001,0.0241662616,0.0074830481,,sse_indices,baostock,2025-12-22,2025-12-22,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-22,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0060171001,0.0241662616,0.0074830481,,szse_indices,baostock,2025-12-22,2025-12-22,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-23,000300.SH,CSI 300,,,,,,,,0.0066110058,0.0222854200,0.0074170756,,csi_indices,baostock,2025-12-23,2025-12-23,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-23,000001.SH,SSE Composite proxy,,,,,,,,0.0066110058,0.0222854200,0.0074170756,,sse_indices,baostock,2025-12-23,2025-12-23,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-23,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0066110058,0.0222854200,0.0074170756,,szse_indices,baostock,2025-12-23,2025-12-23,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-24,000300.SH,CSI 300,,,,,,,,-0.0008888753,0.0147684796,0.0074062708,,csi_indices,baostock,2025-12-24,2025-12-24,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-24,000001.SH,SSE Composite proxy,,,,,,,,-0.0008888753,0.0147684796,0.0074062708,,sse_indices,baostock,2025-12-24,2025-12-24,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-24,399001.SZ,Shenzhen Component proxy,,,,,,,,-0.0008888753,0.0147684796,0.0074062708,,szse_indices,baostock,2025-12-24,2025-12-24,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-25,000300.SH,CSI 300,,,,,,,,0.0162001985,0.0138778254,0.0074126228,,csi_indices,baostock,2025-12-25,2025-12-25,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-25,000001.SH,SSE Composite proxy,,,,,,,,0.0162001985,0.0138778254,0.0074126228,,sse_indices,baostock,2025-12-25,2025-12-25,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-25,399001.SZ,Shenzhen Component proxy,,,,,,,,0.0162001985,0.0138778254,0.0074126228,,szse_indices,baostock,2025-12-25,2025-12-25,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
2025-12-26,000300.SH,CSI 300,,,,,,,,0.0286551262,0.0104035437,0.0071573350,,csi_indices,baostock,2025-12-26,2025-12-26,passed_current_or_past_only,committed_regime_label_proxy_no_raw_index_ohlcv,research_only_not_recommendation_or_position_output
