trade_date,existing_composite_regime_label,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,broad_index_trend_5d,broad_index_trend_20d,broad_index_volatility_20d,market_turnover_level,market_liquidity_pressure,sector_breadth_positive_share,sector_dispersion_level,northbound_flow_level,margin_financing_pressure,suspension_pressure,st_risk_share,source_coverage_score,external_data_quality_score,no_lookahead_status,data_status,non_actionable_disclaimer
2025-12-04,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0012357457,0.0376502365,,1.0478081633,liquidity_stressed_review_only,0.5306122449,1.3199223653,not_available_offline_replay,not_available_offline_replay,0.0200000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-05,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,-0.0007823691,0.0449679017,,1.4061877551,liquidity_normal_review_only,0.7551020408,1.5731038086,not_available_offline_replay,not_available_offline_replay,0.0200000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-08,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,-0.0150797495,0.0335178556,,1.5169857143,liquidity_normal_review_only,0.5306122449,1.9012179402,not_available_offline_replay,not_available_offline_replay,0.0200000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-09,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,-0.0218929564,0.0303226690,,1.2927102041,liquidity_stressed_review_only,0.1428571429,1.5334485532,not_available_offline_replay,not_available_offline_replay,0.0200000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-10,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,-0.0026029507,0.0363896090,,1.2837326531,liquidity_stressed_review_only,0.6938775510,1.7517251310,not_available_offline_replay,not_available_offline_replay,0.0200000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-11,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0001335183,0.0522234291,,1.4050938776,liquidity_stressed_review_only,0.1428571429,1.7227339141,not_available_offline_replay,not_available_offline_replay,0.0200000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-12,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,-0.0027880461,0.0393111473,,1.5803551020,liquidity_normal_review_only,0.7755102041,1.4432362830,not_available_offline_replay,not_available_offline_replay,0.0200000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-15,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0130850440,0.0417110092,,1.3522400000,liquidity_stressed_review_only,0.3600000000,2.2367697610,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-16,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0273881284,0.0564472982,0.0093132933,1.2641400000,liquidity_stressed_review_only,0.2200000000,1.5931932835,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-17,risk_on_low_vol_review_only,benchmark_trend_up_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,0.0118308032,0.0331881984,0.0093373383,1.4805680000,liquidity_normal_review_only,0.9000000000,2.0939463178,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-18,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0197116600,0.0399014442,0.0075055519,1.1172020000,liquidity_stressed_review_only,0.2000000000,1.2693444506,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-19,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0194961532,0.0329891035,0.0076870652,1.2388640000,liquidity_stressed_review_only,0.7600000000,1.3039172867,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-22,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0060171001,0.0241662616,0.0074830481,1.3403460000,liquidity_stressed_review_only,0.5400000000,2.1195018574,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-23,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0066110058,0.0222854200,0.0074170756,1.2725300000,liquidity_stressed_review_only,0.3600000000,1.3946946747,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-24,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,-0.0008888753,0.0147684796,0.0074062708,1.2556640000,liquidity_stressed_review_only,0.5400000000,1.2234449476,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-25,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0162001985,0.0138778254,0.0074126228,1.1015960000,liquidity_stressed_review_only,0.5600000000,1.1407735400,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-26,mixed_uncertain_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,0.0286551262,0.0104035437,0.0071573350,1.4754200000,liquidity_normal_review_only,0.4600000000,2.0832191802,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-29,mixed_uncertain_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,0.0295931641,0.0169461079,0.0070515151,1.4458320000,liquidity_normal_review_only,0.2800000000,1.7999627781,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-30,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0185694619,0.0220558342,0.0070293814,1.3847200000,liquidity_stressed_review_only,0.5400000000,1.5424891952,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2025-12-31,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,0.0278583770,0.0165014251,0.0080304756,1.1982880000,liquidity_stressed_review_only,0.2600000000,1.1846685905,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
2026-01-05,mixed_uncertain_review_only,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,0.0152975180,-0.0236905096,0.0084552408,1.6778720000,liquidity_normal_review_only,0.8600000000,1.5297315094,not_available_offline_replay,not_available_offline_replay,0.0000000000,0.0000000000,0.6800000000,0.7200000000,passed_current_or_past_only,expanded_from_committed_provider02b_and_regime01,research_only_not_recommendation_or_position_output
