score_variant,target,split_policy,train_rows,validation_rows,test_rows,validation_spearman,test_spearman,test_pearson,test_directional_accuracy,test_mean_daily_ic,test_ic_information_ratio,offline_top_bottom_spread_diagnostic_only,calibration_error,fold_stability,feature_sign_stability,selection_label,review_only,warnings
raw_score_based_alpha_ranking,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,-0.184369,0.035451,0.035738,0.555556,0.050146,0.207507,-0.00075,0.032896,0.967706,0.473148,review_only_selected_score_variant_weak,true,weak_test_rank_signal;calibration_not_reliable_for_thresholding;feature_sign_instability_bounded;selected_score_variant_weak_rank_signal;selected_score_variant_calibration_not_reliable_for_thresholding;selected_score_variant_feature_instability_bounded
zscore_cross_sectional_score,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,-0.141492,0.049531,0.008304,0.526667,0.050146,0.207507,-0.00075,0.745015,0.967706,0.473148,,true,weak_test_rank_signal;calibration_not_reliable_for_thresholding;feature_sign_instability_bounded
rank_normalized_score,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,-0.146721,0.049165,-0.012034,0.53,0.050146,0.207507,-0.00075,0.255234,0.967706,0.473148,,true,weak_test_rank_signal;calibration_not_reliable_for_thresholding;feature_sign_instability_bounded
winsorized_rank_score,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,-0.150992,0.050457,-0.012247,0.53,0.051267,0.211122,-0.00075,0.255234,0.967732,0.473148,,true,calibration_not_reliable_for_thresholding;feature_sign_instability_bounded
volatility_adjusted_rank_score,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,-0.146792,0.048351,-0.012893,0.53,0.049532,0.205746,-0.000519,0.255234,0.967888,0.473148,,true,weak_test_rank_signal;calibration_not_reliable_for_thresholding;feature_sign_instability_bounded
market_regime_adjusted_rank_score_review_only,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,-0.146721,0.049165,-0.012034,0.53,0.050146,0.207507,-0.00075,0.255234,0.967706,0.473148,,true,weak_test_rank_signal;calibration_not_reliable_for_thresholding;feature_sign_instability_bounded
