index_id,index_name,trade_date,close,return_1d,source_provider,no_lookahead_status
sh000300,csi300,2023-01-03,3887.899,,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-04,3892.948,0.00129864,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-05,3968.578,0.01942744,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-06,3980.889,0.00310212,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-09,4013.12,0.00809643,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-10,4017.474,0.00108494,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-11,4010.031,-0.00185266,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-12,4017.869,0.0019546,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-13,4074.377,0.01406417,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-16,4137.964,0.01560656,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-17,4137.242,-0.00017448,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-18,4130.314,-0.00167455,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-19,4156.008,0.00622083,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-20,4181.527,0.00614027,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-30,4201.345,0.00473942,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-01-31,4156.858,-0.01058875,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-01,4195.933,0.00940013,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-02,4181.149,-0.00352341,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-03,4141.632,-0.00945123,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-06,4086.878,-0.01322039,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-07,4094.234,0.00179991,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-08,4076.141,-0.00441914,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-09,4130.857,0.01342348,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-10,4106.31,-0.00594235,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-13,4143.574,0.00907481,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-14,4145.29,0.00041414,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-15,4123.689,-0.00521097,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-16,4093.488,-0.00732378,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-17,4034.507,-0.01440849,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-20,4133.49,0.0245341,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-21,4144.354,0.00262829,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-22,4106.951,-0.00902505,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-23,4103.646,-0.00080473,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-24,4061.046,-0.01038101,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-27,4043.844,-0.00423585,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-02-28,4069.459,0.00633432,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-01,4126.942,0.01412546,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-02,4117.738,-0.00223022,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-03,4130.551,0.00311166,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-06,4109.01,-0.00521504,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-07,4048.852,-0.01464051,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-08,4034.108,-0.00364153,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-09,4019.851,-0.00353411,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-10,3967.135,-0.01311392,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-13,4008.686,0.01047381,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-14,3984.696,-0.0059845,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-15,3986.902,0.00055362,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-16,3939.151,-0.01197697,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-17,3958.819,0.00499295,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-20,3939.077,-0.00498684,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-21,3982.378,0.01099268,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-22,3999.443,0.00428513,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-23,4039.09,0.00991313,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-24,4027.046,-0.00298186,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-27,4012.477,-0.00361779,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-28,3999.515,-0.00323042,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-29,4006.144,0.00165745,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-30,4038.526,0.00808308,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-03-31,4050.926,0.00307043,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-03,4090.568,0.00978591,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-04,4103.105,0.00306486,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-06,4096.64,-0.00157564,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-07,4123.28,0.00650289,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-10,4104.812,-0.00447896,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-11,4100.148,-0.00113623,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-12,4097.288,-0.00069754,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-13,4068.979,-0.0069092,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-14,4091.999,0.00565744,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-17,4149.384,0.01402371,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-18,4162.032,0.00304816,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-19,4124.559,-0.00900353,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-20,4113.019,-0.00279787,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-21,4032.567,-0.01956033,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-24,3982.643,-0.0123802,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-25,3962.666,-0.00501602,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-26,3959.232,-0.00086659,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-27,3988.419,0.00737188,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-04-28,4029.086,0.01019627,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-04,4030.247,0.00028815,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-05,4016.877,-0.00331741,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-08,4062.662,0.01139816,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-09,4027.875,-0.00856261,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-10,3996.87,-0.00769761,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-11,3990.664,-0.00155271,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-12,3937.762,-0.01325644,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-15,3998.887,0.01552278,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-16,3978.205,-0.00517194,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-17,3960.165,-0.00453471,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-18,3956.07,-0.00103405,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-19,3944.54,-0.00291451,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-22,3969.328,0.00628413,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-23,3913.188,-0.01414345,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-24,3859.094,-0.01382351,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-25,3850.5,-0.00222695,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-26,3850.951,0.00011713,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-29,3833.942,-0.00441683,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-30,3837.753,0.00099402,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-05-31,3798.543,-0.01021692,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-01,3806.868,0.00219163,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-02,3861.834,0.01443864,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-05,3844.249,-0.00455354,akshare_sina,passed_current_or_past_only
sh000300,csi300,2023-06-06,3808.163,-0.00938701,akshare_sina,passed_current_or_past_only
