source_id,identifier,status,rows,attempts,elapsed_seconds,failure_class,error
akshare.stock_zh_a_spot,universe_listing,failed,0,2,0,other,IndexError:list index out of range
akshare.stock_zh_a_daily,sz000001,failed,0,2,0,connection_reset,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 1"
akshare.stock_zh_a_daily,sz000002,success,843,2,5.44,,
akshare.stock_zh_a_daily,sz000063,success,843,1,9.58,,
akshare.stock_zh_a_daily,sz000100,success,843,1,7.92,,
akshare.stock_zh_a_daily,sz000157,success,843,1,7.52,,
akshare.stock_zh_a_daily,sz000166,success,843,2,8.13,,
akshare.stock_zh_a_daily,sz000333,success,843,1,6.89,,
akshare.stock_zh_a_daily,sz000338,success,843,1,10.66,,
akshare.stock_zh_a_daily,sz000425,success,843,1,8.89,,
akshare.stock_zh_a_daily,sz000538,failed,0,2,0,connection_reset,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 1"
akshare.stock_zh_a_daily,sz000568,success,843,1,9.38,,
akshare.stock_zh_a_daily,sz000596,success,843,1,8.7,,
akshare.stock_zh_a_daily,sz000651,success,843,1,6.08,,
akshare.stock_zh_a_daily,sz000725,success,843,1,4.7,,
akshare.stock_zh_a_daily,sz000776,failed,0,2,0,connection_reset,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 1"
akshare.stock_zh_a_daily,sz000786,success,843,1,6.9,,
akshare.stock_zh_a_daily,sz000895,success,843,2,9.89,,
akshare.stock_zh_a_daily,sz000938,success,843,2,5.58,,
akshare.stock_zh_a_daily,sz000963,success,843,1,6.73,,
akshare.stock_zh_a_daily,sz001979,success,843,1,8.92,,
akshare.stock_zh_a_daily,sz002236,success,843,1,8.96,,
akshare.stock_zh_a_daily,sz002241,success,843,1,6.61,,
akshare.stock_zh_a_daily,sz002271,failed,0,2,0,connection_reset,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 1"
akshare.stock_zh_a_daily,sz002304,failed,0,2,0,connection_reset,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 1"
akshare.stock_zh_a_daily,sz002311,success,843,2,9.41,,
akshare.stock_zh_a_daily,sz002352,success,843,1,6.39,,
akshare.stock_zh_a_daily,sz002371,success,843,2,6.77,,
akshare.stock_zh_a_daily,sz002415,success,843,1,7.37,,
akshare.stock_zh_a_daily,sz002459,failed,0,2,0,connection_reset,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 1"
akshare.stock_zh_a_daily,sz002460,success,843,1,6.84,,
akshare.stock_zh_a_daily,sz002466,success,843,1,5.39,,
akshare.stock_zh_a_daily,sz002475,failed,0,2,0,connection_reset,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 1"
akshare.stock_zh_a_daily,sz002493,success,843,1,6.63,,
akshare.stock_zh_a_daily,sz002594,success,843,2,10.53,,
akshare.stock_zh_a_daily,sz002601,success,843,1,5.92,,
akshare.stock_zh_a_daily,sz002714,success,843,1,8.45,,
akshare.stock_zh_a_daily,sz002736,success,833,2,5.46,,
akshare.stock_zh_a_daily,sz002812,success,833,1,6.35,,
akshare.stock_zh_a_daily,sz002821,success,843,2,9.19,,
akshare.stock_zh_a_daily,sz002841,success,843,2,4.82,,
akshare.stock_zh_a_daily,sz002916,success,843,1,5.26,,
akshare.stock_zh_a_daily,sz002920,success,843,1,5.63,,
akshare.stock_zh_a_daily,sz300014,failed,0,2,0,connection_reset,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 1"
akshare.stock_zh_a_daily,sz300015,success,843,1,6.38,,
akshare.stock_zh_a_daily,sz300033,success,843,2,5.25,,
akshare.stock_zh_a_daily,sz300059,success,843,1,6.08,,
akshare.stock_zh_a_daily,sz300122,success,843,1,6.0,,
akshare.stock_zh_a_daily,sz300124,failed,0,2,0,connection_reset,"ConnectionError:('Connection aborted.', ConnectionResetError(10054, '远程主机强迫关闭了一个现有的连接。', None, 1"
akshare.stock_zh_a_daily,sz300502,success,843,1,8.39,,
akshare.stock_zh_a_daily,sz300628,success,843,1,5.71,,
akshare.stock_zh_index_daily,sh000300,success,5942,1,1.76,,
akshare.stock_zh_index_daily,sh000001,success,8675,1,4.97,,
akshare.stock_zh_index_daily,sz399001,success,8583,1,3.0,,
