provider,fixture_type,status,live_schema_verified,provider_calls_authorized,accepted_provider_rows
tushare_pro,synthetic_field_names_only,SYNTHETIC_CONTRACT_FIXTURE_ACCEPTED_NOT_LIVE_VERIFIED,false,false,0
baostock,synthetic_field_names_only,SYNTHETIC_CONTRACT_FIXTURE_ACCEPTED_NOT_LIVE_VERIFIED,false,false,0
