provider_id,function_name,symbol,date_start,date_end,attempt_ts,network_enabled,status,failure_class,http_status_if_available,response_type_if_available,rows_returned,schema_valid,retry_allowed,fallback_provider,notes,request_sequence,batch_request_sequence,market_exchange,endpoint_family,elapsed_seconds,response_byte_length_if_available,latest_returned_trade_date,exception_type,terminal_exception_message,retry_count,accepted,rejection_reason,upstream_source,akshare_version,request_parameters,network_context
akshare,stock_zh_a_hist,000651.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:36.269+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,11,11,SZ,push2his.eastmoney.com,0.138133,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000651""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000725.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:36.617+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,12,12,SZ,push2his.eastmoney.com,0.166571,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000725""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000786.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:36.992+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,13,13,SZ,push2his.eastmoney.com,0.15184,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000786""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000895.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:37.352+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,14,14,SZ,push2his.eastmoney.com,0.143086,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000895""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000938.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:37.701+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,15,15,SZ,push2his.eastmoney.com,0.154946,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000938""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,000963.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:38.066+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,16,16,SZ,push2his.eastmoney.com,0.141252,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""000963""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,001979.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:38.417+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,17,17,SZ,push2his.eastmoney.com,0.162901,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""001979""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,002236.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:38.787+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,18,18,SZ,push2his.eastmoney.com,0.151244,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""002236""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,002241.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:39.146+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,19,19,SZ,push2his.eastmoney.com,0.150952,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""002241""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
akshare,stock_zh_a_hist,002311.SZ,2026-07-14,2026-07-14,2026-07-15T15:20:39.504+00:00,true,FAIL,BROWSER_NET_EMPTY_RESPONSE,,,0,false,true,,browser or finance endpoint returned an empty response,20,20,SZ,push2his.eastmoney.com,0.151297,unavailable_at_akshare_dataframe_boundary,,ConnectionError,"('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))",0,false,BROWSER_NET_EMPTY_RESPONSE,East Money,1.18.64,"{""adjust"":""qfq"",""end_date"":""20260714"",""period"":""daily"",""start_date"":""20260714"",""symbol"":""002311""}","{""child_proxy_env_present_after_cleanup"":false,""domain_allowed"":true,""inherit_system_proxy"":false,""network_mode"":""finance_direct_requests_proxy_discovery_disabled"",""network_scope"":""finance_only"",""parent_environment_restored"":true,""parent_proxy_env_present"":false,""proxy_keys_removed_for_scope"":""HTTP_PROXY;HTTPS_PROXY;ALL_PROXY;NO_PROXY;http_proxy;https_proxy;all_proxy;no_proxy"",""safe_notes"":""finance-only direct mode removes proxy variables and disables Requests environment/system proxy discovery"",""target_domain"":""push2his.eastmoney.com""}"
