model_name,model_family,target,split_policy,train_rows,validation_rows,test_rows,validation_mae,validation_rmse,validation_spearman,validation_pearson,validation_directional_accuracy,test_mae,test_rmse,test_spearman,test_pearson,test_directional_accuracy,test_mean_daily_ic,test_ic_information_ratio,offline_top_bottom_spread,calibration_error,overfit_gap,selection_label,review_only,warnings
score_based_alpha_ranking,score_based_alpha_ranking,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,0.059738,0.087025,-0.184369,-0.08985,0.428889,0.038201,0.053401,0.035451,0.035738,0.555556,0.050146,0.207507,-0.00075,0.032896,-0.034794,review_only_selected_baseline_weak,true,calibration_error_above_review_threshold
ridge_regression,ridge_regression,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,0.026172,0.037264,0.091088,0.095586,0.524444,0.023367,0.031957,-0.136302,-0.11719,0.455556,-0.142979,-0.663341,-0.009796,0.008015,0.219577,,true,negative_test_rank_correlation
linear_regression,linear_regression,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,0.026173,0.037264,0.091113,0.095716,0.523333,0.023369,0.031959,-0.136416,-0.117289,0.455556,-0.143516,-0.666199,-0.009796,0.008127,0.219598,,true,negative_test_rank_correlation
logistic_direction_classifier,logistic_direction_classifier,excess_fwd_3d_return,chronological_train_validation_test,4200,900,900,0.039915,0.057939,0.055605,0.045807,0.494444,0.038219,0.050205,-0.117887,-0.082254,0.582222,-0.104652,-0.511641,-0.007124,0.033012,0.19189,,true,negative_test_rank_correlation
