symbol,exchange,approval_status,universe_group,sector,start_date,end_date,source_coverage_status,liquidity_bucket,notes
002475.SZ,SZ,approved,current_approved,Electronics,2026-06-15,,contract_fixture_available,current_fixture,active clean bootstrap symbol
600036.SH,SH,approved,current_approved,Banks,2026-06-15,,contract_fixture_available,current_fixture,active clean bootstrap symbol
