trade_date,benchmark_symbol,base_composite_regime_label,refined_composite_regime_label,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,benchmark_trend_expanded_agreement,benchmark_volatility_expanded_agreement,breadth_expanded_agreement,dispersion_expanded_agreement,liquidity_expanded_agreement,downside_risk_expanded_agreement,broad_index_trend_20d,broad_index_volatility_20d,sector_breadth_positive_share,sector_dispersion_level,market_liquidity_pressure,expanded_dimension_available_count,expanded_dimension_agreement_count,regime_confidence_tier,source_coverage_score,external_data_quality_score,regime_refinement_status,no_lookahead_status,non_actionable_disclaimer
2025-12-03,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0218251687,,0.2244897959,1.6461694219,liquidity_stressed_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-04,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0376502365,,0.5306122449,1.3199223653,liquidity_stressed_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-05,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0449679017,,0.7551020408,1.5731038086,liquidity_normal_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-08,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0335178556,,0.5306122449,1.9012179402,liquidity_normal_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-09,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0303226690,,0.1428571429,1.5334485532,liquidity_stressed_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-10,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0363896090,,0.6938775510,1.7517251310,liquidity_stressed_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-11,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0522234291,,0.1428571429,1.7227339141,liquidity_stressed_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-12,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0393111473,,0.7755102041,1.4432362830,liquidity_normal_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-15,000300.SH,insufficient_composite_regime_evidence_review_only,insufficient_composite_regime_evidence_review_only,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,expanded_evidence_unavailable_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0417110092,,0.3600000000,2.2367697610,liquidity_stressed_review_only,4,4,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
2025-12-16,000300.SH,liquidity_stress_review_only,liquidity_stress_review_only,benchmark_trend_up_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,agree_review_only,expanded_evidence_unavailable_review_only,0.0564472982,0.0093132933,0.2200000000,1.5931932835,liquidity_stressed_review_only,5,5,high_confidence_review_only,0.6800000000,0.7200000000,refined_with_expanded_cross_source_evidence,passed_current_or_past_only,research_only
