trading_date,asof_ts,symbol,current_weight,acceptable_band_min,acceptable_band_max,reference_policy_weight,band_status,confidence,constraint_breach,abstain,abstention_reason,provider_quality,regime_state,diagnostic_only,action_instruction,research_only,not_trading_advice,not_for_execution
2026-06-30,2026-06-30T08:30:00+08:00,002466.SZ,0.0243902439,0.0078689236,0.0314756944,0.019672309,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002493.SZ,0.0243902439,0.011434614,0.0457384561,0.0285865351,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002594.SZ,0.0243902439,0.0108635215,0.0434540859,0.0271588037,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002601.SZ,0.0243902439,0.0114738448,0.045895379,0.0286846119,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002714.SZ,0.0243902439,0.0122722313,0.049088925,0.0306805781,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002736.SZ,0.0243902439,0.0128857367,0.051542947,0.0322143419,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002812.SZ,0.0243902439,,,0.0185561963,ABSTAIN,0.52,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence;unresolved_provider_discrepancy,quarantined_provider_discrepancy,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002821.SZ,0.0243902439,,,0.0205828911,ABSTAIN,0.7,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002841.SZ,0.0243902439,0.0091634077,0.0366536307,0.0229085192,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002916.SZ,0.0243902439,,,0.0194155968,ABSTAIN,0.7,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,002920.SZ,0.0243902439,0.0067489039,0.0269956154,0.0168722597,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,300015.SZ,0.0243902439,0.0080078669,0.0320314674,0.0200196672,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,300033.SZ,0.0243902439,,,0.0123160767,ABSTAIN,0.34,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence;unresolved_provider_discrepancy;unstable_band_sensitivity,quarantined_provider_discrepancy,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,300059.SZ,0.0243902439,0.007029755,0.02811902,0.0175743875,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,300122.SZ,0.0243902439,0.0074138434,0.0296553737,0.0185346086,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,300502.SZ,0.0243902439,,,0.0112297515,ABSTAIN,0.52,not_evaluated_no_current_holdings,true,sparse_or_unstable_regime_evidence;unstable_band_sensitivity,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
2026-06-30,2026-06-30T08:30:00+08:00,300628.SZ,0.0243902439,0.0079112389,0.0316449555,0.0197780972,WITHIN_BAND,1,not_evaluated_no_current_holdings,false,,accepted_or_disclosed_warning,regime_unavailable_review_only,true,none,true,true,true
