portfolio_id,asof_date,symbol,reference_weight,volatility_60d,risk_contribution_share,risk_contribution_status,research_only,not_trading_advice,not_for_execution
research_reference_portfolio,2026-06-30,000002.SZ,0.0243902439,0.0209048819,0.0136892467,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000063.SZ,0.0243902439,0.0323873804,0.0328575938,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000100.SZ,0.0243902439,0.0322995158,0.0326795551,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000157.SZ,0.0243902439,0.0225912942,0.0159869765,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000166.SZ,0.0243902439,0.0156158484,0.0076386266,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000333.SZ,0.0243902439,0.0127393587,0.0050836922,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000338.SZ,0.0243902439,0.0368777935,0.0426004286,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000425.SZ,0.0243902439,0.0326713696,0.0334363446,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000568.SZ,0.0243902439,0.0156279426,0.0076504631,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000596.SZ,0.0243902439,0.0201342343,0.0126985563,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000651.SZ,0.0243902439,0.0122703273,0.0047162455,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000725.SZ,0.0243902439,0.0404533605,0.0512617372,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000786.SZ,0.0243902439,0.0177842962,0.0099073494,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000895.SZ,0.0243902439,0.0128842417,0.005199982,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000938.SZ,0.0243902439,0.037995078,0.0452208573,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,000963.SZ,0.0243902439,0.0218113542,0.0149021651,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,001979.SZ,0.0243902439,0.0242539563,0.0184267734,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002236.SZ,0.0243902439,0.0183861235,0.0105892318,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002241.SZ,0.0243902439,0.0281199115,0.0247692018,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002311.SZ,0.0243902439,0.0221299663,0.0153407155,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002352.SZ,0.0243902439,0.0110396689,0.0038176509,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002371.SZ,0.0243902439,0.0328968035,0.033899361,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002415.SZ,0.0243902439,0.0220068791,0.0151705396,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002460.SZ,0.0243902439,0.032202181,0.0324828918,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002466.SZ,0.0243902439,0.0349831778,0.0383356319,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002493.SZ,0.0243902439,0.0310932808,0.0302842769,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002594.SZ,0.0243902439,0.0183243843,0.0105182356,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002601.SZ,0.0243902439,0.0276647233,0.0239737943,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002714.SZ,0.0243902439,0.0214104404,0.0143593676,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002736.SZ,0.0243902439,0.0183289261,0.0105234503,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002812.SZ,0.0243902439,0.0391259129,0.0479527014,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002821.SZ,0.0243902439,0.0365166587,0.0417701635,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002841.SZ,0.0243902439,0.0210621729,0.0138960208,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002916.SZ,0.0243902439,0.0425986668,0.0568428868,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,002920.SZ,0.0243902439,0.0282872222,0.0250648272,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,300015.SZ,0.0243902439,0.0235625735,0.0173912002,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,300033.SZ,0.0243902439,0.0371751443,0.0432901847,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,300059.SZ,0.0243902439,0.0274428354,0.0235907676,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,300122.SZ,0.0243902439,0.0246276273,0.018998935,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,300502.SZ,0.0243902439,0.0490849358,0.0754710803,estimated_from_diagonal_covariance,true,true,true
research_reference_portfolio,2026-06-30,300628.SZ,0.0243902439,0.0237777515,0.0177102903,estimated_from_diagonal_covariance,true,true,true
