policy_id,regime_label,observations,annualized_volatility,mean_daily_return,regime_stability_status,research_only,not_trading_advice,not_for_execution
equal_weight,insufficient_composite_regime_evidence_review_only,19,0.1534393358,-0.0013689182,sparse_regime_review_only,true,true,true
equal_weight,liquidity_stress_review_only,19,0.1152901472,-0.0002644434,sparse_regime_review_only,true,true,true
equal_weight,mixed_uncertain_review_only,38,0.1607432608,0.0023745607,review_only_sufficient,true,true,true
equal_weight,regime_unavailable_review_only,49,0.1835685993,0.0000786669,review_only_sufficient,true,true,true
equal_weight,risk_off_high_vol_review_only,17,0.1309767845,-0.0078748391,sparse_regime_review_only,true,true,true
equal_weight,risk_on_high_vol_review_only,25,0.2235836062,0.0021803901,review_only_sufficient,true,true,true
equal_weight,risk_on_low_vol_review_only,2,0.0901702753,0.0147528633,sparse_regime_review_only,true,true,true
inverse_volatility,insufficient_composite_regime_evidence_review_only,19,0.1364580229,-0.0013272256,sparse_regime_review_only,true,true,true
inverse_volatility,liquidity_stress_review_only,19,0.1094751955,-0.0004868447,sparse_regime_review_only,true,true,true
inverse_volatility,mixed_uncertain_review_only,38,0.1569413123,0.0023137003,review_only_sufficient,true,true,true
inverse_volatility,regime_unavailable_review_only,49,0.1667724926,0.0000083434,review_only_sufficient,true,true,true
inverse_volatility,risk_off_high_vol_review_only,17,0.1186612796,-0.0076887171,sparse_regime_review_only,true,true,true
inverse_volatility,risk_on_high_vol_review_only,25,0.2113043419,0.0017555118,review_only_sufficient,true,true,true
inverse_volatility,risk_on_low_vol_review_only,2,0.0802152378,0.01258701,sparse_regime_review_only,true,true,true
minimum_variance_diagonal,insufficient_composite_regime_evidence_review_only,19,0.1230320774,-0.0011741592,sparse_regime_review_only,true,true,true
minimum_variance_diagonal,liquidity_stress_review_only,19,0.1066023854,-0.0006914643,sparse_regime_review_only,true,true,true
minimum_variance_diagonal,mixed_uncertain_review_only,38,0.1519277428,0.0022265008,review_only_sufficient,true,true,true
minimum_variance_diagonal,regime_unavailable_review_only,49,0.1541650631,-0.0000024237,review_only_sufficient,true,true,true
minimum_variance_diagonal,risk_off_high_vol_review_only,17,0.1081249717,-0.007367997,sparse_regime_review_only,true,true,true
minimum_variance_diagonal,risk_on_high_vol_review_only,25,0.2018133508,0.0013975838,review_only_sufficient,true,true,true
minimum_variance_diagonal,risk_on_low_vol_review_only,2,0.0786244367,0.010864609,sparse_regime_review_only,true,true,true
equal_risk_contribution_diagonal,insufficient_composite_regime_evidence_review_only,19,0.1364580229,-0.0013272256,sparse_regime_review_only,true,true,true
equal_risk_contribution_diagonal,liquidity_stress_review_only,19,0.1094751955,-0.0004868447,sparse_regime_review_only,true,true,true
equal_risk_contribution_diagonal,mixed_uncertain_review_only,38,0.1569413123,0.0023137003,review_only_sufficient,true,true,true
equal_risk_contribution_diagonal,regime_unavailable_review_only,49,0.1667724926,0.0000083434,review_only_sufficient,true,true,true
equal_risk_contribution_diagonal,risk_off_high_vol_review_only,17,0.1186612796,-0.0076887171,sparse_regime_review_only,true,true,true
equal_risk_contribution_diagonal,risk_on_high_vol_review_only,25,0.2113043419,0.0017555118,review_only_sufficient,true,true,true
equal_risk_contribution_diagonal,risk_on_low_vol_review_only,2,0.0802152378,0.01258701,sparse_regime_review_only,true,true,true
hrp_correlation_cluster,insufficient_composite_regime_evidence_review_only,19,0.1386385687,-0.001445327,sparse_regime_review_only,true,true,true
hrp_correlation_cluster,liquidity_stress_review_only,19,0.1089186992,-0.0005522711,sparse_regime_review_only,true,true,true
hrp_correlation_cluster,mixed_uncertain_review_only,38,0.1573415675,0.0023654614,review_only_sufficient,true,true,true
hrp_correlation_cluster,regime_unavailable_review_only,49,0.1697587437,0.0000963214,review_only_sufficient,true,true,true
hrp_correlation_cluster,risk_off_high_vol_review_only,17,0.1212535694,-0.0078950906,sparse_regime_review_only,true,true,true
hrp_correlation_cluster,risk_on_high_vol_review_only,25,0.2119174739,0.0017945549,review_only_sufficient,true,true,true
hrp_correlation_cluster,risk_on_low_vol_review_only,2,0.0785945577,0.0126318135,sparse_regime_review_only,true,true,true
