portfolio_id,symbol,constraint_id,current_value,observed_value,threshold,breach,constraint_passed,severity,breach_severity,fail_closed,evidence_availability,action_instruction,research_only,not_trading_advice,not_for_execution
research_reference_portfolio,002236.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002236.SZ,max_symbol_risk_contribution,0.0105892318,0.0105892318,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002236.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002241.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002241.SZ,max_symbol_risk_contribution,0.0247692018,0.0247692018,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002241.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002311.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002311.SZ,max_symbol_risk_contribution,0.0153407155,0.0153407155,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002311.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002352.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002352.SZ,max_symbol_risk_contribution,0.0038176509,0.0038176509,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002352.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002371.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002371.SZ,max_symbol_risk_contribution,0.033899361,0.033899361,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002371.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002415.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002415.SZ,max_symbol_risk_contribution,0.0151705396,0.0151705396,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002415.SZ,min_history_observations,841,841,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002460.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002460.SZ,max_symbol_risk_contribution,0.0324828918,0.0324828918,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002460.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002466.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002466.SZ,max_symbol_risk_contribution,0.0383356319,0.0383356319,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002466.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002493.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002493.SZ,max_symbol_risk_contribution,0.0302842769,0.0302842769,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002493.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002594.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002594.SZ,max_symbol_risk_contribution,0.0105182356,0.0105182356,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002594.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002601.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002601.SZ,max_symbol_risk_contribution,0.0239737943,0.0239737943,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002601.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002714.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002714.SZ,max_symbol_risk_contribution,0.0143593676,0.0143593676,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002714.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002736.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002736.SZ,max_symbol_risk_contribution,0.0105234503,0.0105234503,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002736.SZ,min_history_observations,832,832,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002812.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002812.SZ,max_symbol_risk_contribution,0.0479527014,0.0479527014,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002812.SZ,min_history_observations,831,831,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002821.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002821.SZ,max_symbol_risk_contribution,0.0417701635,0.0417701635,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002821.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002841.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002841.SZ,max_symbol_risk_contribution,0.0138960208,0.0138960208,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002841.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002916.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002916.SZ,max_symbol_risk_contribution,0.0568428868,0.0568428868,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002916.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002920.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002920.SZ,max_symbol_risk_contribution,0.0250648272,0.0250648272,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,002920.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300015.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300015.SZ,max_symbol_risk_contribution,0.0173912002,0.0173912002,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300015.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300033.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300033.SZ,max_symbol_risk_contribution,0.0432901847,0.0432901847,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300033.SZ,min_history_observations,841,841,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300059.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300059.SZ,max_symbol_risk_contribution,0.0235907676,0.0235907676,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300059.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300122.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300122.SZ,max_symbol_risk_contribution,0.018998935,0.018998935,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300122.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300502.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300502.SZ,max_symbol_risk_contribution,0.0754710803,0.0754710803,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300502.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300628.SZ,max_symbol_weight,0.0243902439,0.0243902439,0.1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300628.SZ,max_symbol_risk_contribution,0.0177102903,0.0177102903,0.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,300628.SZ,min_history_observations,842,842,120,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,,quarantined_rows_excluded,6,6,excluded_from_risk_model=true,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,,research_reference_only_without_holdings,current_holdings_not_supplied,current_holdings_not_supplied,valid_snapshot_required,true,false,high,high,true,unavailable_no_current_holdings_snapshot,none,true,true,true
research_reference_portfolio,,no_action_instruction,none,none,action_instruction=none,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,,gross_exposure_max,1,1,1,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,,cash_buffer_band,unavailable_no_current_cash_snapshot,unavailable_no_current_cash_snapshot,0.00_to_0.05,true,false,high,high,true,unavailable_no_current_holdings_or_cash_snapshot,none,true,true,true
research_reference_portfolio,,turnover_limit,0.216781557,0.216781557,0.5,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,,volatility_budget,0.2143067911,0.2143067911,0.35,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,,cluster_concentration_cap,0.3414634146,0.3414634146,0.6,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,,beta_budget,1.1623355098,1.1623355098,1.2,false,true,none,none,false,available,none,true,true,true
research_reference_portfolio,,liquidity_limit,unavailable_no_volume_or_amount_field,unavailable_no_volume_or_amount_field,capacity_from_volume_or_amount,true,false,high,high,true,unavailable_no_volume_or_amount_field,none,true,true,true
