refined_factor_id,source_factor_id,refinement_type,factor_family,group_type,group_value,row_count,unique_symbols,unique_trade_dates,mean_forward_return_1d,median_forward_return_1d,hit_rate_1d,mean_forward_return_5d,median_forward_return_5d,hit_rate_5d,mean_forward_return_20d,median_forward_return_20d,hit_rate_20d,mean_benchmark_excess_return_1d,median_benchmark_excess_return_1d,positive_excess_rate_1d,mean_benchmark_excess_return_5d,median_benchmark_excess_return_5d,positive_excess_rate_5d,mean_benchmark_excess_return_20d,median_benchmark_excess_return_20d,positive_excess_rate_20d
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,factor_quantile,1,977,49,100,-0.0009374132,-0.0023041475,0.4247697032,-0.0030443887,-0.0069551777,0.4135107472,-0.0261928733,-0.0393325387,0.2917093142,-0.0014899910,-0.0031672993,0.4063459570,-0.0064609417,-0.0092006307,0.3684749232,-0.0339787182,-0.0442502696,0.2763561924
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,factor_quantile,2,963,49,100,-0.0012991027,-0.0020100503,0.4267912773,-0.0046665356,-0.0068965517,0.4299065421,-0.0178237146,-0.0336551004,0.3478712357,-0.0019111484,-0.0029209321,0.3997923157,-0.0081420798,-0.0093103666,0.3727933541,-0.0255176707,-0.0356896127,0.3187954309
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,factor_quantile,3,954,50,100,-0.0008211363,-0.0016796755,0.4507337526,-0.0026314897,-0.0041104744,0.4517819706,-0.0128745781,-0.0280312530,0.3469601677,-0.0013663237,-0.0023732477,0.4454926625,-0.0060443444,-0.0075593871,0.4014675052,-0.0202363929,-0.0354858710,0.3280922432
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,factor_quantile,4,963,50,100,0.0012008234,0.0000000000,0.4911734164,0.0026163042,-0.0022421525,0.4579439252,-0.0017346435,-0.0229385488,0.3914849429,0.0005887777,-0.0018235359,0.4527518172,-0.0008592401,-0.0058671658,0.4361370717,-0.0094285996,-0.0301728288,0.3769470405
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,factor_quantile,5,911,40,100,0.0009362523,-0.0025562794,0.4555433589,0.0073046667,0.0025839793,0.5214050494,0.0111205154,-0.0060689655,0.4785949506,0.0004059529,-0.0031216684,0.4478594951,0.0040275175,0.0004229109,0.5016465423,0.0038195796,-0.0231089073,0.4346871570
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,factor_bucket,HIGH_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,1874,50,100,0.0010722086,-0.0009555029,0.4738527215,0.0048954388,-0.0009021217,0.4887940235,0.0045145826,-0.0175299914,0.4338313767,0.0004999018,-0.0022012027,0.4503735326,0.0015163395,-0.0041466546,0.4679829242,-0.0029883161,-0.0267553316,0.4050160085
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,factor_bucket,INSUFFICIENT_REFINED_FACTOR_EVIDENCE_REVIEW_ONLY,1232,50,91,0.0003858267,0.0000000000,0.4991883117,0.0027853494,0.0000000000,0.4935064935,0.0237281148,0.0142909771,0.5965909091,0.0001602462,-0.0009435621,0.4642857143,-0.0020210867,-0.0048948008,0.4350649351,-0.0051784809,-0.0150807738,0.4180194805
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,factor_bucket,LOW_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,1940,50,100,-0.0011169529,-0.0021052632,0.4257731959,-0.0038496090,-0.0069164288,0.4216494845,-0.0220384920,-0.0364601737,0.3195876289,-0.0016990501,-0.0030119005,0.4030927835,-0.0072954448,-0.0092352044,0.3706185567,-0.0297787240,-0.0412130767,0.2974226804
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,factor_bucket,MEDIUM_REFINED_FACTOR_EXPOSURE_REVIEW_ONLY,954,50,100,-0.0008211363,-0.0016796755,0.4507337526,-0.0026314897,-0.0041104744,0.4517819706,-0.0128745781,-0.0280312530,0.3469601677,-0.0013663237,-0.0023732477,0.4454926625,-0.0060443444,-0.0075593871,0.4014675052,-0.0202363929,-0.0354858710,0.3280922432
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,factor_quantile,1,1000,49,100,0.0003582021,-0.0018161010,0.4480000000,0.0006003651,-0.0046270148,0.4380000000,-0.0200905435,-0.0367083053,0.3090000000,-0.0002514179,-0.0022236985,0.4330000000,-0.0029630119,-0.0083145718,0.4060000000,-0.0284410994,-0.0432907964,0.2870000000
