refined_factor_id,source_factor_id,source_score_validity_classification,source_rolling_stability_status,source_horizon_consistency_status,source_monotonicity_status,refined_score_validity_classification,refined_rolling_stability_status,refined_horizon_consistency_status,refined_monotonicity_status,rolling_stability_improved,horizon_consistency_improved,bucket_health_improved,directional_alignment_improved,valid_row_count_delta,dominant_bucket_share_delta,improvement_summary,improvement_status
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,true,false,-1232,-0.0100000000,bucket_health_improved_or_preserved,refined_candidate_partially_improved
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,true,false,-1000,-0.0000000000,bucket_health_improved_or_preserved,refined_candidate_partially_improved
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,false,false,-2100,0.0166666667,refined_candidate_not_improved,refined_candidate_not_improved
alpha_benchmark_relative_strength_20d__review_queue_conditioned,alpha_benchmark_relative_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,false,false,-4700,0.4500000000,refined_candidate_not_improved,refined_candidate_not_improved
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,true,false,-1265,-0.0101666666,bucket_health_improved_or_preserved,refined_candidate_partially_improved
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,true,false,-1232,-0.0100000000,bucket_health_improved_or_preserved,refined_candidate_partially_improved
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,true,false,-1000,-0.0000000000,bucket_health_improved_or_preserved,refined_candidate_partially_improved
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,false,false,-2100,0.0166666667,refined_candidate_not_improved,refined_candidate_not_improved
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,false,false,-4700,0.4500000000,refined_candidate_not_improved,refined_candidate_not_improved
alpha_downside_vol_adjusted_strength_20d__risk_filtered,alpha_downside_vol_adjusted_strength_20d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,true,false,-1265,-0.0101666666,bucket_health_improved_or_preserved,refined_candidate_partially_improved
alpha_price_volume_confirmation_5d__downside_risk_filtered,alpha_price_volume_confirmation_5d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,true,false,-496,-0.0100000000,bucket_health_improved_or_preserved,refined_candidate_partially_improved
alpha_price_volume_confirmation_5d__horizon_specific,alpha_price_volume_confirmation_5d,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,factor_signal_weak_or_unreliable,factor_unstable,horizons_consistent_positive,expected_direction_aligned,false,false,true,false,-260,-0.0000000000,bucket_health_improved_or_preserved,refined_candidate_partially_improved
