refined_factor_id,source_factor_id,refinement_type,factor_family,regime_label,row_count,valid_factor_value_count,unique_symbols,unique_trade_dates,regime_sample_size_status,mean_ic_1d,mean_ic_5d,mean_ic_20d,mean_rank_ic_1d,mean_rank_ic_5d,mean_rank_ic_20d,ic_positive_rate_1d,top_minus_bottom_excess_spread_1d,top_minus_bottom_excess_spread_5d,top_minus_bottom_excess_spread_20d,direction_status_1d,direction_status_5d,direction_status_20d,sign_flip_count,stable_window_count,unstable_window_count,regime_stability_status,regime_conditional_status,regime_conditional_reason,no_lookahead_status,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,liquidity_stress_review_only,950,872,50,19,sufficient_regime_sample,-0.0092198967,0.0349772451,0.0076692657,-0.0504796658,0.0128434857,0.0993272854,0.6111111111,-0.0002346469,0.0020965445,0.0256232234,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,1,0,sign_stable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,mixed_uncertain_review_only,1900,1821,50,38,sufficient_regime_sample,0.0776029258,0.1495955845,0.1134423352,0.0390726047,0.1249677810,0.0449599094,0.6578947368,0.0034373530,0.0136114745,0.0173682992,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,4,0,sign_stable,conditionally_useful,aligned_stable_regime_signal_but_not_base_validated_candidate,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,risk_off_high_vol_review_only,850,811,50,17,sufficient_regime_sample,-0.0360659532,-0.0243227806,0.0195027483,-0.0187961344,-0.0458222378,-0.0696328985,0.4705882353,-0.0003628857,-0.0016176291,0.0036781405,inverse_signal_warning,inverse_signal_warning,expected_direction_aligned,1,1,1,sign_unstable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,risk_on_high_vol_review_only,1250,1165,50,25,sufficient_regime_sample,0.0527489751,0.0986092143,0.2549230993,0.0539954011,0.0722007491,0.2100899483,0.5600000000,0.0043420805,0.0132051889,0.0574855692,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,2,0,sign_stable,conditionally_useful,aligned_stable_regime_signal_but_not_base_validated_candidate,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,downside_risk_filtered,benchmark_relative_strength,risk_on_low_vol_review_only,100,99,50,2,insufficient_regime_sample,-0.1719472062,0.0803819844,0.0249915553,-0.0317728419,0.0819951332,0.0900240096,0.5000000000,-0.0032964481,0.0136264791,0.0370132471,inverse_signal_warning,expected_direction_aligned,expected_direction_aligned,0,0,0,not_evaluable,not_ready,regime_sample_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,insufficient_composite_regime_evidence_review_only,950,0,50,19,insufficient_regime_evidence,,,,,,,,,,,not_evaluable,not_evaluable,not_evaluable,0,0,0,not_evaluable,not_ready,regime_evidence_insufficient,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,liquidity_stress_review_only,950,900,50,19,sufficient_regime_sample,-0.0332108406,-0.0057277748,-0.0171694419,-0.0620802618,0.0012911831,0.0801067094,0.5000000000,-0.0008686882,-0.0000178720,0.0213428595,inverse_signal_warning,inverse_signal_warning,expected_direction_aligned,0,1,0,sign_stable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,mixed_uncertain_review_only,1900,1900,50,38,sufficient_regime_sample,0.0606423865,0.1251399610,0.1063600962,0.0267469955,0.1085663739,0.0394920073,0.6578947368,0.0031474126,0.0131171479,0.0181509038,expected_direction_aligned,expected_direction_aligned,expected_direction_aligned,0,4,0,sign_stable,conditionally_useful,aligned_stable_regime_signal_but_not_base_validated_candidate,passed_current_or_past_only,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,horizon_specific,benchmark_relative_strength,risk_off_high_vol_review_only,850,850,50,17,sufficient_regime_sample,-0.0385159999,-0.0222461203,0.0130383930,-0.0200924158,-0.0450207857,-0.0689301603,0.5294117647,-0.0007455601,-0.0018064195,0.0017194541,inverse_signal_warning,inverse_signal_warning,expected_direction_aligned,1,1,1,sign_unstable,not_ready,conflicting_direction_across_horizons,passed_current_or_past_only,research_only
