candidate_id,base_refined_factor_id,source_factor_id,factor_family,refinement_type,readiness_transform,readiness_status,holdout_mean_ic_1d,holdout_rank_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,walk_forward_sign_consistency,base_precondition_pass,provider_robustness_status,non_actionable_disclaimer
alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,downside_risk_filtered,identity,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,downside_risk_filtered,cross_sectional_zscore,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,downside_risk_filtered,cross_sectional_rank,not_ready,0.024634,0.010026,0.5793,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__downside_risk_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,downside_risk_filtered,winsorized_zscore,not_ready,0.025511,0.01001,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,horizon_specific,identity,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,horizon_specific,cross_sectional_zscore,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,horizon_specific,cross_sectional_rank,not_ready,0.024634,0.010026,0.5793,0,6714,0.3333,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__horizon_specific__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__horizon_specific,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,horizon_specific,winsorized_zscore,not_ready,0.025511,0.01001,0.561,1,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,liquidity_filtered,identity,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
alpha_benchmark_relative_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__liquidity_filtered,alpha_benchmark_relative_strength_20d,benchmark_relative_strength,liquidity_filtered,cross_sectional_zscore,not_ready,0.027701,0.010026,0.5915,0,6714,0.6667,false,pass_with_discrepancy_warnings,research_only
