candidate_id,base_refined_factor_id,factor_family,refinement_transform,is_original,readiness_status,holdout_mean_ic_1d,holdout_sign_consistency_1d,aligned_horizon_count,holdout_valid_rows,walk_forward_sign_consistency,base_precondition_pass,non_actionable_disclaimer
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__horizon_specific,downside_volatility_adjusted_signal,cross_sectional_rank,false,conditionally_useful,0.064776,0.7,3,1000,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__horizon_specific,downside_volatility_adjusted_signal,winsorized_zscore,false,conditionally_useful,0.062736,0.75,3,1000,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,downside_volatility_adjusted_signal,identity,true,conditionally_useful,0.050164,0.65,3,780,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,downside_volatility_adjusted_signal,cross_sectional_zscore,false,conditionally_useful,0.050164,0.65,3,780,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,downside_volatility_adjusted_signal,cross_sectional_rank,false,not_ready,0.053661,0.5,2,780,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,downside_volatility_adjusted_signal,winsorized_zscore,false,not_ready,0.046421,0.5,2,780,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,downside_volatility_adjusted_signal,identity,true,not_ready,0.070672,0.6,3,260,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,downside_volatility_adjusted_signal,cross_sectional_zscore,false,not_ready,0.070672,0.6,3,260,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,downside_volatility_adjusted_signal,cross_sectional_rank,false,not_ready,0.068646,0.6,3,260,1.0,false,research_only
alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__review_queue_conditioned,downside_volatility_adjusted_signal,winsorized_zscore,false,not_ready,0.062006,0.65,3,260,1.0,false,research_only
