candidate_id,base_refined_factor_id,old_status,new_status,old_ic_1d,new_ic_1d,old_rank_ic_1d,new_rank_ic_1d,old_sign_stability,new_sign_stability,old_regime_consistency,new_regime_consistency,old_sample_size,new_sample_size,oos_change,transition_category,readiness_transition_reason
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__review_queue_conditioned,not_ready,not_ready,0.049573,0.024634,0.0052701875,0.010026,0.55,0.5793,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,260,6714,-0.024939,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_benchmark_relative_strength_20d__review_queue_conditioned__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__review_queue_conditioned,not_ready,not_ready,0.054257,0.025511,0.0052701875,0.01001,0.55,0.561,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,260,6714,-0.028746,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__risk_filtered,alpha_benchmark_relative_strength_20d__risk_filtered,conditionally_useful,not_ready,0.087942,0.027701,0.0070258006,0.010026,0.65,0.5915,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,910,6714,-0.060241,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_zscore,alpha_benchmark_relative_strength_20d__risk_filtered,conditionally_useful,not_ready,0.087942,0.027701,0.0070258006,0.010026,0.65,0.5915,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,910,6714,-0.060241,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_cross_sectional_rank,alpha_benchmark_relative_strength_20d__risk_filtered,conditionally_useful,not_ready,0.079786,0.024634,0.0070258006,0.010026,0.7,0.5793,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,910,6714,-0.055152,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2,walk_forward_stable"
alpha_benchmark_relative_strength_20d__risk_filtered__readiness_winsorized_zscore,alpha_benchmark_relative_strength_20d__risk_filtered,conditionally_useful,not_ready,0.08447,0.025511,0.0070258006,0.01001,0.65,0.561,not_useful_in_any_regime,extended_index_regime_diagnostics_applied,910,6714,-0.058959,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,conditionally_useful,not_ready,0.074353,0.00663,0.0089680814,0.001434,0.7,0.5061,regime_specific_review_only,extended_index_regime_diagnostics_applied,951,4665,-0.067723,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,conditionally_useful,not_ready,0.074353,0.00663,0.0089680814,0.001434,0.7,0.5061,regime_specific_review_only,extended_index_regime_diagnostics_applied,951,4665,-0.067723,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,conditionally_useful,not_ready,0.078683,0.006275,0.0089680814,0.001434,0.75,0.5122,regime_specific_review_only,extended_index_regime_diagnostics_applied,951,4665,-0.072408,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__downside_risk_filtered,conditionally_useful,not_ready,0.075678,0.00535,0.0089680814,0.000811,0.7,0.4939,regime_specific_review_only,extended_index_regime_diagnostics_applied,951,4665,-0.070328,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__horizon_specific,alpha_downside_vol_adjusted_strength_20d__horizon_specific,conditionally_useful,not_ready,0.062408,0.00663,0.0008840233,0.001434,0.6,0.5061,regime_specific_review_only,extended_index_regime_diagnostics_applied,1000,4665,-0.055778,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__horizon_specific,conditionally_useful,not_ready,0.062408,0.00663,0.0008840233,0.001434,0.6,0.5061,regime_specific_review_only,extended_index_regime_diagnostics_applied,1000,4665,-0.055778,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__horizon_specific,conditionally_useful,not_ready,0.064776,0.006275,0.0008840233,0.001434,0.7,0.5122,regime_specific_review_only,extended_index_regime_diagnostics_applied,1000,4665,-0.058501,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__horizon_specific__readiness_winsorized_zscore,alpha_downside_vol_adjusted_strength_20d__horizon_specific,conditionally_useful,not_ready,0.062736,0.00535,0.0008840233,0.000811,0.75,0.4939,regime_specific_review_only,extended_index_regime_diagnostics_applied,1000,4665,-0.057386,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,conditionally_useful,not_ready,0.050164,0.00663,-0.0062639151,0.001434,0.65,0.5061,regime_specific_review_only,extended_index_regime_diagnostics_applied,780,4665,-0.043534,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_zscore,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,conditionally_useful,not_ready,0.050164,0.00663,-0.0062639151,0.001434,0.65,0.5061,regime_specific_review_only,extended_index_regime_diagnostics_applied,780,4665,-0.043534,lost_conditional_status,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
alpha_downside_vol_adjusted_strength_20d__liquidity_filtered__readiness_cross_sectional_rank,alpha_downside_vol_adjusted_strength_20d__liquidity_filtered,not_ready,not_ready,0.053661,0.006275,-0.0062639151,0.001434,0.5,0.5122,regime_specific_review_only,extended_index_regime_diagnostics_applied,780,4665,-0.047386,unchanged_not_ready,"not_ready_failed:base_precondition_pass,holdout_strong_ic_1d,holdout_sign_stable_1d,aligned_horizons_ge_2"
