trade_date,benchmark_symbol,benchmark_trend_regime,benchmark_volatility_regime,breadth_regime,dispersion_regime,liquidity_regime,downside_risk_regime,composite_regime_label,benchmark_trailing_return_5d,benchmark_trailing_return_20d,benchmark_trailing_volatility_20d,universe_positive_return_share,universe_negative_return_share,universe_return_dispersion,universe_liquidity_proxy,high_downside_risk_share,valid_symbol_count,source_provider,universe_mode,no_lookahead_status,label_construction_status,non_actionable_disclaimer
2025-12-08,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,-0.0150797495,0.0335178556,,0.5306122449,0.4693877551,1.9012179402,1.5169857143,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-09,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,-0.0218929564,0.0303226690,,0.1428571429,0.8571428571,1.5334485532,1.2927102041,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-10,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,-0.0026029507,0.0363896090,,0.6938775510,0.2857142857,1.7517251310,1.2837326531,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-11,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0001335183,0.0522234291,,0.1428571429,0.8571428571,1.7227339141,1.4050938776,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-12,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,-0.0027880461,0.0393111473,,0.7755102041,0.2244897959,1.4432362830,1.5803551020,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-15,000300.SH,benchmark_trend_up_review_only,insufficient_benchmark_vol_evidence_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,insufficient_composite_regime_evidence_review_only,0.0130850440,0.0417110092,,0.3600000000,0.6400000000,2.2367697610,1.3522400000,0.0400000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed_with_insufficient_dimension_warnings,research_only
2025-12-16,000300.SH,benchmark_trend_up_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,liquidity_stress_review_only,0.0273881284,0.0564472982,0.0093132933,0.2200000000,0.7800000000,1.5931932835,1.2641400000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-17,000300.SH,benchmark_trend_up_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,risk_on_low_vol_review_only,0.0118308032,0.0331881984,0.0093373383,0.9000000000,0.0800000000,2.0939463178,1.4805680000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-18,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,liquidity_stress_review_only,0.0197116600,0.0399014442,0.0075055519,0.2000000000,0.8000000000,1.2693444506,1.1172020000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-19,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,liquidity_stress_review_only,0.0194961532,0.0329891035,0.0076870652,0.7600000000,0.1800000000,1.3039172867,1.2388640000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-22,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,liquidity_stress_review_only,0.0060171001,0.0241662616,0.0074830481,0.5400000000,0.4200000000,2.1195018574,1.3403460000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-23,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,liquidity_stress_review_only,0.0066110058,0.0222854200,0.0074170756,0.3600000000,0.5800000000,1.3946946747,1.2725300000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-24,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,liquidity_stress_review_only,-0.0008888753,0.0147684796,0.0074062708,0.5400000000,0.4400000000,1.2234449476,1.2556640000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-25,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,liquidity_stress_review_only,0.0162001985,0.0138778254,0.0074126228,0.5600000000,0.3800000000,1.1407735400,1.1015960000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-26,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,0.0286551262,0.0104035437,0.0071573350,0.4600000000,0.5000000000,2.0832191802,1.4754200000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-29,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,0.0295931641,0.0169461079,0.0070515151,0.2800000000,0.7000000000,1.7999627781,1.4458320000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-30,000300.SH,benchmark_trend_up_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,liquidity_stress_review_only,0.0185694619,0.0220558342,0.0070293814,0.5400000000,0.4400000000,1.5424891952,1.3847200000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2025-12-31,000300.SH,benchmark_trend_up_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_stressed_review_only,downside_risk_low_review_only,liquidity_stress_review_only,0.0278583770,0.0165014251,0.0080304756,0.2600000000,0.7200000000,1.1846685905,1.1982880000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-05,000300.SH,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,0.0152975180,-0.0236905096,0.0084552408,0.8600000000,0.1400000000,1.5297315094,1.6778720000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-06,000300.SH,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,-0.0061914623,-0.0272583483,0.0084137372,0.8600000000,0.1000000000,2.7566085682,2.3037580000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-07,000300.SH,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,risk_off_high_vol_review_only,-0.0072718506,-0.0163257392,0.0085629821,0.1800000000,0.8200000000,1.8225762132,1.9041200000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-08,000300.SH,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,risk_off_high_vol_review_only,0.0029077052,-0.0141915821,0.0085585497,0.2200000000,0.7400000000,1.8287999752,1.7547680000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-09,000300.SH,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_low_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,-0.0056839132,-0.0242336810,0.0082646780,0.8400000000,0.1600000000,1.4072096163,1.7914140000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-12,000300.SH,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_positive_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,-0.0115784715,-0.0147934969,0.0084222530,0.6600000000,0.3200000000,2.5067844195,2.3147880000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-13,000300.SH,benchmark_trend_down_review_only,benchmark_vol_medium_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,risk_off_high_vol_review_only,-0.0088540040,-0.0077161416,0.0083238491,0.2800000000,0.7000000000,1.7844519284,2.3525080000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-14,000300.SH,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,-0.0039775782,-0.0059284081,0.0076761526,0.4200000000,0.5600000000,1.6853396338,2.6757320000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-15,000300.SH,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,-0.0058340761,-0.0067035197,0.0069276680,0.5400000000,0.4400000000,2.0826348550,1.9996880000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-16,000300.SH,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_low_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,risk_off_high_vol_review_only,-0.0062081550,-0.0151033646,0.0067144678,0.3800000000,0.6200000000,1.7054537968,1.9706860000,0.0000000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-19,000300.SH,benchmark_trend_down_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,-0.0058067077,-0.0056842016,0.0068017746,0.4600000000,0.5200000000,2.0946044274,1.7080100000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-20,000300.SH,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,-0.0027943930,0.0036041617,0.0065586209,0.4800000000,0.5200000000,2.8550244979,1.9135620000,0.0400000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-21,000300.SH,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_medium_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,-0.0010751060,0.0008055567,0.0065602269,0.4000000000,0.6000000000,2.1263789680,1.9008000000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-22,000300.SH,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_negative_review_only,dispersion_high_review_only,liquidity_normal_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,0.0063849402,-0.0027652423,0.0066574801,0.3400000000,0.6000000000,2.4612269497,1.8412220000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
2026-01-23,000300.SH,benchmark_trend_flat_review_only,benchmark_vol_low_review_only,breadth_mixed_review_only,dispersion_high_review_only,liquidity_expanded_review_only,downside_risk_low_review_only,mixed_uncertain_review_only,0.0008173318,0.0055655968,0.0066531444,0.5000000000,0.4600000000,2.5764544798,2.1465880000,0.0200000000,50,baostock,provider_panel_candidate_universe_review_only,passed_current_or_past_only,constructed,research_only
