trading_date,asof_ts,portfolio_id,symbol,holdings_mode,constraint_id,current_value,threshold,breach,severity,evidence_availability,fail_closed,action_instruction,constraint_source,research_only,not_trading_advice,not_for_execution
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000568.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0076504631,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000568.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000596.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000596.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0126985563,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000596.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000651.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000651.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0047162455,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000651.SZ,research_reference_portfolio,min_history_observations,841,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000725.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000725.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0512617372,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000725.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000786.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000786.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.0099073494,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000786.SZ,research_reference_portfolio,min_history_observations,842,120,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000895.SZ,research_reference_portfolio,max_symbol_weight,0.0243902439,0.1,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
2026-07-01,2026-07-01T08:30:00+08:00,research_reference_portfolio,000895.SZ,research_reference_portfolio,max_symbol_risk_contribution,0.005199982,0.2,false,none,available,false,none,GOAL-PREMARKET-PORTFOLIO-RISK-MANAGEMENT-01,true,true,true
